relationship_id,estate_id,broker_id,result_id
1,1,9607,1
2,2,8821,2
3,3,5080,1
4,4,15939,2
5,5,6759,1
6,6,14405,2
7,7,14149,2
8,8,4906,2
9,9,5104,2
10,10,3701,1
11,11,19045,1
12,12,10797,2
13,13,16644,2
14,14,15970,2
15,15,1988,1
16,16,18619,1
17,17,306,2
18,18,934,2
19,19,18479,2
20,20,9621,2
21,21,14969,1
22,22,15141,2
23,23,5830,2
24,24,17638,1
25,25,1003,2
26,26,13670,2
27,27,4351,1
28,28,19273,2
29,29,10670,2
30,30,4055,2
31,31,9185,2
32,32,9542,2
33,33,8218,1
34,34,6293,1
35,35,17206,1
36,36,1091,2
37,37,4582,1
38,38,9695,2
39,39,17722,1
40,40,4429,1
41,41,2401,1
42,42,827,2
43,43,16864,2
44,44,15199,1
45,45,19335,2
46,46,7422,1
47,47,11535,1
48,48,9142,2
49,49,6477,2
50,50,18051,2
51,51,6287,1
52,52,1461,2
53,53,2715,1
54,54,13633,2
55,55,16589,2
56,56,5435,1
57,57,5402,1
58,58,9440,2
59,59,13919,2
60,60,8548,2
61,61,13908,1
62,62,13123,1
63,63,33,1
64,64,14849,2
65,65,14044,1
66,66,5428,2
67,67,16942,1
68,68,10377,1
69,69,12464,1
70,70,17516,2
71,71,15521,1
72,72,1314,1
73,73,7921,2
74,74,5139,2
75,75,18167,1
76,76,5864,1
77,77,12958,1
78,78,6480,1
79,79,3152,1
80,80,8292,2
81,81,12371,1
82,82,6873,2
83,83,19276,1
84,84,954,1
85,85,1734,2
86,86,13101,2
87,87,10199,2
88,88,14547,2
89,89,6789,2
90,90,7503,1
91,91,13995,2
92,92,16565,2
93,93,5913,2
94,94,3693,2
95,95,229,1
96,96,11391,1
97,97,16374,2
98,98,15603,1
99,99,15376,2
100,100,17852,2
101,101,12547,1
102,102,13323,1
103,103,5347,1
104,104,15127,2
105,105,8027,2
106,106,7177,2
107,107,16142,2
108,108,3040,1
109,109,18756,1
110,110,10312,1
111,111,2114,2
112,112,17410,2
113,113,15811,1
114,114,12984,2
115,115,6044,2
116,116,16573,2
117,117,14654,1
118,118,13840,2
119,119,8512,2
120,120,15915,2
121,121,15231,2
122,122,8242,1
123,123,9449,1
124,124,5984,1
125,125,5182,2
126,126,12664,2
127,127,18250,1
128,128,13574,2
129,129,11227,2
130,130,19107,1
131,131,13538,1
132,132,1060,2
133,133,2029,2
134,134,7807,1
135,135,7308,1
136,136,7886,2
137,137,15929,2
138,138,3902,1
139,139,19289,1
140,140,12835,1
141,141,6723,2
142,142,55,2
143,143,7242,1
144,144,8636,2
145,145,11616,2
146,146,175,2
147,147,514,2
148,148,11226,1
149,149,3763,1
150,150,4257,1
151,151,16446,1
152,152,17583,2
153,153,15528,2
154,154,19356,1
155,155,6770,1
156,156,9327,1
157,157,208,1
158,158,8592,2
159,159,6205,1
160,160,14461,1
161,161,1810,2
162,162,5876,2
163,163,4722,1
164,164,12517,2
165,165,18909,2
166,166,11548,1
167,167,9981,2
168,168,18071,2
169,169,16025,2
170,170,180,1
171,171,8578,2
172,172,18049,2
173,173,15444,1
174,174,10333,1
175,175,2539,1
176,176,7445,1
177,177,11253,2
178,178,761,2
179,179,4366,2
180,180,15983,1
181,181,3344,1
182,182,17147,1
183,183,8374,2
184,184,5681,1
185,185,2011,2
186,186,7980,1
187,187,17678,1
188,188,4306,2
189,189,6514,1
190,190,14408,2
191,191,13196,1
192,192,3058,2
193,193,11295,1
194,194,13169,1
195,195,5658,1
196,196,6371,1
197,197,19142,1
198,198,13655,1
199,199,6208,2
200,200,1939,1
201,201,8142,2
202,202,17763,2
203,203,14325,1
204,204,9273,1
205,205,9717,2
206,206,14390,2
207,207,17741,2
208,208,1187,2
209,209,12289,2
210,210,15838,1
211,211,18696,2
212,212,9646,1
213,213,16864,1
214,214,10121,2
215,215,12201,1
216,216,4572,2
217,217,8738,2
218,218,12058,1
219,219,4099,2
220,220,3077,2
221,221,17038,1
222,222,13710,2
223,223,15800,1
224,224,16370,1
225,225,18911,1
226,226,4633,1
227,227,8591,1
228,228,11014,1
229,229,2560,2
230,230,19133,2
231,231,5332,1
232,232,9669,2
233,233,15177,2
234,234,16689,1
235,235,3412,1
236,236,6326,1
237,237,13070,1
238,238,4700,1
239,239,14906,1
240,240,18876,1
241,241,7891,2
242,242,5026,1
243,243,6824,2
244,244,19318,2
245,245,5365,2
246,246,9183,1
247,247,18673,1
248,248,11044,2
249,249,6587,2
250,250,16259,2
251,251,759,1
252,252,8274,2
253,253,18947,2
254,254,589,1
255,255,4286,2
256,256,1254,2
257,257,2178,2
258,258,3349,1
259,259,18287,2
260,260,2033,2
261,261,781,1
262,262,680,2
263,263,16088,2
264,264,10057,2
265,265,9990,2
266,266,13751,2
267,267,1541,1
268,268,11501,2
269,269,6711,2
270,270,17431,2
271,271,3204,1
272,272,217,1
273,273,2308,1
274,274,18116,2
275,275,929,2
276,276,4105,1
277,277,13855,1
278,278,3175,1
279,279,6279,2
280,280,9113,1
281,281,2098,2
282,282,4604,1
283,283,16674,1
284,284,17841,2
285,285,1775,1
286,286,15588,2
287,287,3138,2
288,288,7928,1
289,289,5611,2
290,290,12453,1
291,291,6460,2
292,292,10201,2
293,293,18321,2
294,294,5593,2
295,295,14246,2
296,296,12463,1
297,297,2455,1
298,298,16241,1
299,299,8405,2
300,300,4401,1
301,301,5135,1
302,302,10031,2
303,303,18581,1
304,304,836,1
305,305,103,2
306,306,12535,1
307,307,248,2
308,308,4985,1
309,309,8266,1
310,310,8204,1
311,311,17392,1
312,312,13128,1
313,313,1034,1
314,314,6757,2
315,315,16461,2
316,316,1359,1
317,317,15156,1
318,318,379,2
319,319,4892,2
320,320,6373,2
321,321,5073,1
322,322,1967,1
323,323,8545,2
324,324,3543,1
325,325,12317,1
326,326,18395,2
327,327,2102,2
328,328,12197,1
329,329,4682,1
330,330,932,1
