relationship_id,estate_id,broker_id,result_id
1,1,13620,1
2,2,12357,1
3,3,9136,1
4,4,18765,1
5,5,12779,1
6,6,2628,1
7,7,16543,1
8,8,18033,1
9,9,9525,1
10,10,10339,1
11,11,15695,1
12,12,7383,1
13,13,11820,1
14,14,13440,1
15,15,17572,1
16,16,17095,1
17,17,15247,1
18,18,16348,1
19,19,13662,1
20,20,12183,1
21,21,6574,1
22,22,13690,1
23,23,16255,1
24,24,15326,1
25,25,8061,1
26,26,2913,1
27,27,3492,1
28,28,6535,1
29,29,10528,1
30,30,979,1
31,31,15640,1
32,32,18957,1
33,33,8359,1
34,34,2410,1
35,35,2985,1
36,36,15744,1
37,37,8426,1
38,38,3729,1
39,39,13513,1
40,40,539,1
41,41,17850,1
42,42,9081,1
43,43,13890,1
44,44,8005,1
45,45,4735,1
46,46,13355,1
47,47,506,1
48,48,5746,1
49,49,17971,1
50,50,14831,1
51,51,8110,1
52,52,15775,1
53,53,4748,1
54,54,10036,1
55,55,7909,1
56,56,15187,1
57,57,2741,1
58,58,9217,1
59,59,5045,1
60,60,15119,1
61,61,10630,1
62,62,10744,1
63,63,12356,1
64,64,17788,1
65,65,4427,1
66,66,11328,1
67,67,9717,1
68,68,19329,1
69,69,3840,1
70,70,9030,1
71,71,3198,1
72,72,12029,1
73,73,5045,1
74,74,1265,1
75,75,6122,1
76,76,5184,1
77,77,16215,1
78,78,14809,1
79,79,1897,1
80,80,11162,1
81,81,4799,1
82,82,4034,1
83,83,12887,1
84,84,13484,1
85,85,15043,1
86,86,8455,1
87,87,15191,1
88,88,16756,1
89,89,12046,1
90,90,2512,1
91,91,7222,1
92,92,12828,1
93,93,6041,1
94,94,11800,1
95,95,14828,1
96,96,8942,1
97,97,15726,1
98,98,12617,1
99,99,6798,1
100,100,7988,1
101,101,6506,1
102,102,2912,1
103,103,11800,1
104,104,9970,1
105,105,16659,1
106,106,15831,1
107,107,4261,1
108,108,16238,1
109,109,15727,1
110,110,3816,1
111,111,9509,1
112,112,2487,1
113,113,5610,1
114,114,10772,1
115,115,8407,1
116,116,379,1
117,117,8815,1
118,118,1194,1
119,119,13038,1
120,120,15561,1
121,121,11524,1
122,122,7193,1
123,123,11767,1
124,124,14867,1
125,125,17828,1
126,126,17335,1
127,127,5259,1
128,128,19173,1
129,129,16981,1
130,130,2193,1
131,131,4220,1
132,132,4396,1
133,133,18049,1
134,134,7594,1
135,135,9075,1
136,136,3736,1
137,137,1002,1
138,138,12933,1
139,139,18573,1
140,140,5005,1
141,141,17133,1
142,142,17592,1
143,143,2938,1
144,144,13387,1
145,145,3933,1
146,146,12628,1
147,147,4505,1
148,148,16310,1
149,149,11186,1
150,150,13806,1
151,151,1990,1
152,152,175,1
153,153,11672,1
154,154,18149,1
155,155,7684,1
156,156,18989,1
157,157,9759,1
158,158,4417,1
159,159,4801,1
160,160,16347,1
161,161,8057,1
162,162,9854,1
163,163,14606,1
164,164,17515,1
165,165,16282,1
166,166,7101,1
167,167,8188,1
168,168,9274,1
169,169,5970,1
170,170,16323,1
171,171,12910,1
172,172,5267,1
173,173,8634,1
174,174,2724,1
175,175,12391,1
176,176,19117,1
177,177,16590,1
178,178,17172,1
179,179,2844,1
180,180,8973,1
181,181,18049,1
182,182,7225,1
183,183,15965,1
184,184,11416,1
185,185,7,1
186,186,15921,1
187,187,2198,1
188,188,16662,1
189,189,5173,1
190,190,16818,1
191,191,17420,1
192,192,10936,1
193,193,11720,1
194,194,15286,1
195,195,6378,1
196,196,1018,1
197,197,2731,1
198,198,9274,1
199,199,10557,1
200,200,18196,1
201,201,6028,1
202,202,4429,1
203,203,7472,1
204,204,273,1
205,205,872,1
206,206,13841,1
207,207,10462,1
208,208,9213,1
209,209,14713,1
210,210,7649,1
211,211,7378,1
212,212,10743,1
213,213,5614,1
214,214,18590,1
215,215,12709,1
216,216,8419,1
217,217,4647,1
218,218,11899,1
219,219,8997,1
220,220,11435,1
221,221,14375,1
222,222,18771,1
223,223,19324,1
224,224,14709,1
225,225,10684,1
226,226,7474,1
227,227,15634,1
228,228,8513,1
229,229,5988,1
230,230,18925,1
231,231,10310,1
232,232,14553,1
233,233,10557,1
234,234,17411,1
235,235,7785,1
236,236,13324,1
237,237,62,1
238,238,2721,1
239,239,386,1
240,240,8592,1
241,241,4083,1
242,242,1442,1
243,243,14423,1
244,244,13387,1
